日期,地区,确诊人数,治愈人数,死亡人数,新增确诊,新增治愈,新增死亡,现有确诊,扩散指数
2020/1/26,襄阳,36,0,0,34,0,0,36,17
2020/1/27,襄阳,70,0,0,34,0,0,70,0.944444444
2020/1/28,襄阳,131,0,0,61,0,0,131,0.871428571
2020/1/29,襄阳,163,0,0,32,0,0,163,0.244274809
2020/1/30,襄阳,286,0,0,123,0,0,286,0.754601227
2020/1/31,襄阳,347,0,0,61,0,0,347,0.213286713
2020/2/1,襄阳,441,0,0,94,0,0,441,0.270893372
2020/2/2,襄阳,548,0,0,107,0,0,548,0.242630385
2020/2/3,襄阳,632,1,1,84,1,1,630,0.153284672
2020/2/4,襄阳,735,7,2,103,6,1,726,0.163492063
2020/2/5,襄阳,787,10,2,52,3,0,775,0.071625344
2020/2/6,襄阳,838,29,3,51,19,1,806,0.065806452
2020/2/7,襄阳,907,31,5,69,2,2,871,0.08560794
2020/2/8,襄阳,988,40,7,81,9,2,941,0.092996556
2020/2/9,襄阳,1019,42,9,31,2,2,968,0.032943677
2020/2/10,襄阳,1063,49,12,44,7,3,1002,0.045454545
2020/2/11,襄阳,1088,60,12,25,11,0,1016,0.0249501
2020/2/12,襄阳,1101,66,13,13,6,1,1022,0.012795276
2020/2/13,襄阳,1111,73,16,10,7,3,1022,0.009784736
2020/2/14,襄阳,1128,85,18,17,12,2,1025,0.016634051
2020/2/15,襄阳,1144,114,19,16,29,1,1011,0.015609756
2020/2/16,襄阳,1155,151,20,11,37,1,984,0.010880317
2020/2/17,襄阳,1163,182,21,8,31,1,960,0.008130081
2020/2/18,襄阳,1165,230,22,2,48,1,913,0.002083333
2020/2/19,襄阳,1168,294,23,3,64,1,851,0.003285871
2020/2/20,襄阳,1171,343,24,3,49,1,804,0.003525264
2020/2/21,襄阳,1173,402,26,2,59,2,745,0.002487562
2020/1/21,孝感,0,0,0,0,0,0,0,0
2020/1/22,孝感,0,0,0,0,0,0,0,0
2020/1/23,孝感,22,0,0,22,0,0,22,0
2020/1/24,孝感,26,0,0,4,0,0,26,0.181818182
2020/1/25,孝感,55,0,0,29,0,0,55,1.115384615
2020/1/26,孝感,100,0,1,45,0,1,99,0.818181818
2020/1/27,孝感,173,0,1,73,0,0,172,0.737373737
2020/1/28,孝感,274,0,3,101,0,2,271,0.587209302
2020/1/29,孝感,399,0,6,125,0,3,393,0.461254613
2020/1/30,孝感,541,2,9,142,2,3,530,0.361323155
2020/1/31,孝感,628,2,12,87,0,3,614,0.164150943
2020/2/1,孝感,749,2,14,121,0,2,733,0.197068404
2020/2/2,孝感,918,2,14,169,0,0,902,0.230559345
2020/2/3,孝感,1120,4,17,202,2,3,1099,0.223946785
2020/2/4,孝感,1462,6,18,342,2,1,1438,0.311191993
2020/2/5,孝感,1886,9,25,424,3,7,1852,0.294853964
2020/2/6,孝感,2141,25,25,255,16,0,2091,0.137688985
2020/2/7,孝感,2313,38,26,172,13,1,2249,0.082257293
2020/2/8,孝感,2436,45,29,123,7,3,2362,0.054690974
2020/2/9,孝感,2541,81,33,105,36,4,2427,0.044453853
2020/2/10,孝感,2642,139,41,101,58,8,2462,0.041615163
2020/2/11,孝感,2751,179,45,109,40,4,2527,0.044272949
2020/2/12,孝感,2874,207,49,123,28,4,2618,0.048674317
2020/2/13,孝感,3009,255,57,135,48,8,2697,0.051566081
2020/2/14,孝感,3114,313,62,105,58,5,2739,0.038932147
2020/2/15,孝感,3201,353,65,87,40,3,2783,0.031763417
2020/2/16,孝感,3279,449,70,78,96,5,2760,0.028027309
2020/2/17,孝感,3320,523,75,41,74,5,2722,0.014855072
2020/2/18,孝感,3344,572,82,24,49,7,2690,0.008817046
2020/2/19,孝感,3410,673,89,66,101,7,2648,0.024535316
2020/2/20,孝感,3427,771,94,17,98,5,2562,0.00641994
2020/2/21,孝感,3429,917,98,2,146,4,2414,0.00078064
2020/1/21,宜昌,0,0,0,0,0,0,0,0
2020/1/22,宜昌,0,0,0,0,0,0,0,0
2020/1/23,宜昌,1,0,1,1,0,1,0,0
2020/1/24,宜昌,1,0,1,0,0,0,0,0
2020/1/25,宜昌,20,0,1,19,0,0,19,0
2020/1/26,宜昌,31,0,1,11,0,0,30,0.578947368
2020/1/27,宜昌,51,0,1,20,0,0,50,0.666666667
2020/1/28,宜昌,63,0,1,12,0,0,62,0.24
2020/1/29,宜昌,117,0,1,54,0,0,116,0.870967742
2020/1/30,宜昌,167,0,1,50,0,0,166,0.431034483
2020/1/31,宜昌,276,0,1,109,0,0,275,0.656626506
2020/2/1,宜昌,353,0,1,77,0,0,352,0.28
2020/2/2,宜昌,392,1,1,39,1,0,390,0.110795455
2020/2/3,宜昌,452,2,3,60,1,2,447,0.153846154
2020/2/4,宜昌,496,9,4,44,7,1,483,0.098434004
2020/2/5,宜昌,563,9,6,67,0,2,548,0.138716356
2020/2/6,宜昌,610,11,7,47,2,1,592,0.085766423
2020/2/7,宜昌,633,24,8,23,13,1,601,0.038851351
2020/2/8,宜昌,711,36,8,78,12,0,667,0.129783694
2020/2/9,宜昌,749,43,8,38,7,0,698,0.056971514
2020/2/10,宜昌,772,52,8,23,9,0,712,0.032951289
2020/2/11,宜昌,784,62,8,12,10,0,714,0.016853933
2020/2/12,宜昌,810,72,11,26,10,3,727,0.036414566
2020/2/13,宜昌,877,81,13,67,9,2,783,0.09215956
2020/2/14,宜昌,895,92,15,18,11,2,788,0.022988506
2020/2/15,宜昌,895,140,21,0,48,6,734,0
2020/2/16,宜昌,895,156,24,0,16,3,715,0
2020/2/17,宜昌,904,186,24,9,30,0,694,0.012587413
2020/2/18,宜昌,907,208,25,3,22,1,674,0.004322767
2020/2/19,宜昌,910,231,27,3,23,2,652,0.004451039
2020/2/20,宜昌,914,250,28,4,19,1,636,0.006134969
2020/2/21,宜昌,914,273,29,0,23,1,612,0
2020/1/21,总计,375,28,9,0,0,0,338,0
2020/1/22,总计,444,28,17,69,0,8,399,0.204142012
2020/1/23,总计,549,31,24,105,3,7,494,0.263157895
2020/1/24,总计,729,32,39,180,1,15,658,0.36437247
2020/1/25,总计,1052,42,52,323,10,13,958,0.490881459
2020/1/26,总计,1423,44,76,371,2,24,1303,0.387265136
2020/1/27,总计,2714,47,100,1291,3,24,2567,0.990790483
2020/1/28,总计,3554,80,125,840,33,25,3349,0.32723023
2020/1/29,总计,4586,90,162,1032,10,37,4334,0.308151687
2020/1/30,总计,5806,116,204,1220,26,42,5486,0.281495155
2020/1/31,总计,7153,166,249,1347,50,45,6738,0.245534087
2020/2/1,总计,9074,215,294,1921,49,45,8565,0.285099436
2020/2/2,总计,11177,295,350,2103,80,56,10532,0.245534151
2020/2/3,总计,13522,397,414,2345,102,64,12711,0.222654766
2020/2/4,总计,16678,520,479,3156,123,65,15679,0.248288884
2020/2/5,总计,19665,633,549,2987,113,70,18483,0.190509599
2020/2/6,总计,22112,817,618,2447,184,69,20677,0.132391928
2020/2/7,总计,24953,1115,699,2841,298,81,23139,0.137399042
2020/2/8,总计,27066,1439,780,2113,324,81,24847,0.091317689
2020/2/9,总计,29631,1795,871,2565,356,91,26965,0.103231778
2020/2/10,总计,31728,2222,974,2097,427,103,28532,0.077767476
2020/2/11,总计,33366,2639,1068,1638,417,94,29659,0.057409225
2020/2/12,总计,47163,3171,1202,13797,532,134,42790,0.465187633
2020/2/13,总计,51986,3861,1318,4823,690,116,46807,0.112713251
2020/2/14,总计,54344,4774,1456,2358,913,138,48114,0.05037708
2020/2/15,总计,56187,5623,1595,1843,849,139,48969,0.038304859
2020/2/16,总计,58128,6639,1695,1941,1016,100,49794,0.039637322
2020/2/17,总计,59936,7862,1788,1808,1223,93,50286,0.036309596
2020/2/18,总计,61682,9128,1921,1746,1266,133,50633,0.034721394
2020/2/19,总计,62457,10337,2029,775,1209,108,50091,0.015306223
2020/2/20,总计,63088,11788,2144,631,1451,115,49516,0.012597073
2020/2/21,总计,63454,13557,2250,366,1767,106,47647,0.00739155
