fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
titles03/index.html.2919,tt0155975,Psycho (1998),psycho,http://www.imdb.com/title/tt0155975/,4.6,32968,6300,1998,video.movie,3,3,35,202,578,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
titles03/index.html.2920,tt0156323,Dumm gelaufen - Kidnapping für Anfänger (2000),dumm gelaufen kidnapping f r anf nger,http://www.imdb.com/title/tt0156323/,5.6,6399,4680,2000,video.movie,0,0,22,5,66,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2921,tt0156812,Mein Hund Skip (2000),mein hund skip,http://www.imdb.com/title/tt0156812/,7.0,14584,5700,2000,video.movie,6,4,43,60,144,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
titles03/index.html.2923,tt0156934,Begegnung des Schicksals (1999),begegnung des schicksals,http://www.imdb.com/title/tt0156934/,5.0,15308,7980,1999,video.movie,0,0,31,29,281,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2924,tt0157016,Seul contre tous (1998),seul contre tous,http://www.imdb.com/title/tt0157016/,7.5,9946,5580,1998,video.movie,5,5,7,56,99,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2925,tt0157503,Gnadenlos schön (1999),gnadenlos sch n,http://www.imdb.com/title/tt0157503/,6.5,24159,5820,1999,video.movie,1,1,102,116,317,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2926,tt0157583,Enigma - Das Geheimnis (2001),enigma das geheimnis,http://www.imdb.com/title/tt0157583/,6.4,15337,7140,2001,video.movie,3,5,18,63,165,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2927,tt0157784,I'm Bout It (Video 1997),i m bout it video,http://www.imdb.com/title/tt0157784/,4.8,234,6600,1997,video.movie,0,0,6,0,10,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2928,tt0158310,Unknown Chaplin (TV Mini-Series 1983),unknown chaplin tv mini series,http://www.imdb.com/title/tt0158310/,8.2,380,9360,1983,video.tv,0,3,10,7,9,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2929,tt0158423,Tom Clancys Netforce (TV Movie 1999),tom clancys netforce tv movie,http://www.imdb.com/title/tt0158423/,5.1,1069,12000,1999,video.movie,0,2,16,0,33,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles03/index.html.2930,tt0158534,The Burning Train (1980),the burning train,http://www.imdb.com/title/tt0158534/,6.7,694,8520,1980,video.movie,0,0,4,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles03/index.html.2931,tt0158811,Muppets aus dem All (1999),muppets aus dem all,http://www.imdb.com/title/tt0158811/,6.2,12430,5220,1999,video.movie,0,0,64,135,98,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles03/index.html.2932,tt0158983,South Park - Der Film (1999),south park der film,http://www.imdb.com/title/tt0158983/,7.8,130357,4860,1999,video.movie,6,8,69,27,920,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2934,tt0159272,Beautiful People (1999),beautiful people,http://www.imdb.com/title/tt0159272/,6.7,2103,6420,1999,video.movie,4,4,18,0,29,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles03/index.html.2935,tt0159273,Im Fadenkreuz - Allein gegen alle (2001),im fadenkreuz allein gegen alle,http://www.imdb.com/title/tt0159273/,6.4,70740,6360,2001,video.movie,1,2,55,246,402,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles03/index.html.2937,tt0160127,3 Engel für Charlie (2000),engel f r charlie,http://www.imdb.com/title/tt0160127/,5.5,122086,5880,2000,video.movie,12,26,190,1431,636,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2938,tt0160399,Impostor - Der Replikant (2001),impostor der replikant,http://www.imdb.com/title/tt0160399/,6.2,17653,5700,2001,video.movie,0,0,14,14,199,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
titles03/index.html.2939,tt0160797,Rules - Sekunden der Entscheidung (2000),rules sekunden der entscheidung,http://www.imdb.com/title/tt0160797/,6.3,32831,7680,2000,video.movie,1,2,95,56,264,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles03/index.html.2940,tt0160916,An deiner Seite (1999),an deiner seite,http://www.imdb.com/title/tt0160916/,5.9,16210,5700,1999,video.movie,1,3,117,76,147,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2941,tt0161058,Victim of Love (Video 1992),victim of love video,http://www.imdb.com/title/tt0161058/,6.3,13,,1992,video.movie,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2943,tt0161584,For His Eyes Only (1989),for his eyes only,http://www.imdb.com/title/tt0161584/,6.7,12,,1989,video.movie,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2944,tt0162065,Angel - Jäger der Finsternis (TV Series 1999–2004),angel j ger der finsternis tv series,http://www.imdb.com/title/tt0162065/,8.1,39648,2640,1999,video.tv,12,42,138,2249,191,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2946,tt0162346,Ghost World (2001),ghost world,http://www.imdb.com/title/tt0162346/,7.5,80591,6660,2001,video.movie,35,31,35,304,469,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2947,tt0162661,Sleepy Hollow (1999),sleepy hollow,http://www.imdb.com/title/tt0162661/,7.5,211693,6300,1999,video.movie,22,28,74,815,971,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2948,tt0162677,Summer of Sam (1999),summer of sam,http://www.imdb.com/title/tt0162677/,6.6,27660,8520,1999,video.movie,0,0,28,63,340,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2949,tt0162796,Bump in the Night (TV Series 1994–1995),bump in the night tv series,http://www.imdb.com/title/tt0162796/,8.2,335,1500,1994,video.tv,0,0,10,12,9,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2950,tt0163651,American Pie: Wie ein Heisser Apfelkuchen (1999),american pie wie ein heisser apfelkuchen,http://www.imdb.com/title/tt0163651/,7.0,254968,5700,1999,video.movie,9,14,145,2985,773,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2951,tt0163978,The Beach (2000),the beach,http://www.imdb.com/title/tt0163978/,6.6,131875,7140,2000,video.movie,0,0,90,382,538,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2952,tt0163988,Bringing Out the Dead - Nächte der Erinnerung (1999),bringing out the dead n chte der erinnerung,http://www.imdb.com/title/tt0163988/,6.8,46732,7260,1999,video.movie,2,4,36,133,380,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles03/index.html.2955,tt0164538,Dil Se - Von ganzem Herzen (1998),dil se von ganzem herzen,http://www.imdb.com/title/tt0164538/,7.6,9420,9780,1998,video.movie,7,2,3,16,70,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2956,tt0164877,Sexo\, pudor y lágrimas (1999),sexo pudor y l grimas,http://www.imdb.com/title/tt0164877/,6.9,1343,6540,1999,video.movie,6,8,3,2,16,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2958,tt0164982,Zatôichi abare-himatsuri (1970),zat ichi abare himatsuri,http://www.imdb.com/title/tt0164982/,7.5,582,5760,1970,video.movie,0,0,8,0,5,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2959,tt0164983,Zatôichi kenka-daiko (1968),zat ichi kenka daiko,http://www.imdb.com/title/tt0164983/,7.5,454,5040,1968,video.movie,0,0,3,2,8,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2960,tt0164984,Zatoichi sekisho yaburi (1964),zatoichi sekisho yaburi,http://www.imdb.com/title/tt0164984/,7.4,483,5160,1964,video.movie,0,0,3,5,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2962,tt0165798,Ghost Dog - Der Weg des Samurai (1999),ghost dog der weg des samurai,http://www.imdb.com/title/tt0165798/,7.6,59167,6960,1999,video.movie,1,7,37,120,337,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2963,tt0165929,Romeo Must Die (2000),romeo must die,http://www.imdb.com/title/tt0165929/,6.0,48489,6900,2000,video.movie,1,7,87,106,350,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles03/index.html.2965,tt0166064,Who Wants to Be a Millionaire (TV Series 1998– ),who wants to be a millionaire tv series,http://www.imdb.com/title/tt0166064/,6.4,352,3600,1998,video.tv,16,3,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2966,tt0166110,Bones - Bis auf die Knochen (2001),bones bis auf die knochen,http://www.imdb.com/title/tt0166110/,4.0,4991,5760,2001,video.movie,0,0,38,42,88,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2967,tt0166175,East Is East (1999),east is east,http://www.imdb.com/title/tt0166175/,6.9,12934,5760,1999,video.movie,15,8,29,133,160,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2968,tt0166375,The Taylor Predicament (1998),the taylor predicament,http://www.imdb.com/title/tt0166375/,6.3,6,,1998,video.movie,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2969,tt0166442,Inside Edition (TV Series 1988– ),inside edition tv series,http://www.imdb.com/title/tt0166442/,4.1,173,,1988,video.tv,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
titles03/index.html.297,tt0033563,Dumbo\, der fliegende Elefant (1941),dumbo der fliegende elefant,http://www.imdb.com/title/tt0033563/,7.3,57473,3840,1941,video.movie,2,1,82,69,110,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2970,tt0166682,The Lady with the Torch (1999),the lady with the torch,http://www.imdb.com/title/tt0166682/,6.4,76,7140,1999,video.movie,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2973,tt0166924,Mulholland Drive (2001),mulholland drive,http://www.imdb.com/title/tt0166924/,8.0,188272,8820,2001,video.movie,42,33,89,844,1709,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles03/index.html.2978,tt0167565,Der Graf von Monte Christo (TV Mini-Series 1998),der graf von monte christo tv mini series,http://www.imdb.com/title/tt0167565/,8.1,3992,24000,1998,video.tv,3,0,16,5,47,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.2979,tt0168358,Parkinson (TV Series 1971–2007),parkinson tv series,http://www.imdb.com/title/tt0168358/,7.6,315,3000,1971,video.tv,4,8,0,0,10,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
titles03/index.html.298,tt0033621,Ein gefährliches Unternehmen (1942),ein gef hrliches unternehmen,http://www.imdb.com/title/tt0033621/,6.8,218,5220,1942,video.movie,0,0,5,0,4,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles03/index.html.2980,tt0168856,Hilfe! Ich bin ein Fisch (2000),hilfe ich bin ein fisch,http://www.imdb.com/title/tt0168856/,5.8,3098,4800,2000,video.movie,1,7,13,0,28,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2982,tt0169410,À la recherche de Kundun avec Martin Scorsese (1998),la recherche de kundun avec martin scorsese,http://www.imdb.com/title/tt0169410/,7.2,57,5100,1998,video.movie,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2984,tt0169858,Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo\, kimi ni (1997),shin seiki evangelion gekij ban air magokoro wo kimi ni,http://www.imdb.com/title/tt0169858/,8.2,13353,5400,1997,video.movie,2,0,7,0,122,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2985,tt0170016,Der Grinch (2000),der grinch,http://www.imdb.com/title/tt0170016/,5.9,104190,6240,2000,video.movie,16,29,79,582,462,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2988,tt0171357,Hadashi no Gen 2 (1986),hadashi no gen,http://www.imdb.com/title/tt0171357/,7.2,478,5100,1986,video.movie,0,0,0,0,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
titles03/index.html.2989,tt0171433,Glauben ist alles! (2000),glauben ist alles,http://www.imdb.com/title/tt0171433/,6.5,40252,7680,2000,video.movie,2,5,30,65,254,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.299,tt0033654,Genroku Chûshingura (1941),genroku ch shingura,http://www.imdb.com/title/tt0033654/,7.5,989,14460,1941,video.movie,0,0,7,3,8,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2991,tt0171825,The Thin Pink Line (1998),the thin pink line,http://www.imdb.com/title/tt0171825/,4.5,264,6360,1998,video.movie,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2992,tt0172156,Bad Boys II (2003),bad boys ii,http://www.imdb.com/title/tt0172156/,6.5,139551,8820,2003,video.movie,5,12,92,383,505,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2993,tt0172341,Dollar for the Dead (TV Movie 1998),dollar for the dead tv movie,http://www.imdb.com/title/tt0172341/,5.3,648,5640,1998,video.movie,0,0,4,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
titles03/index.html.2996,tt0172610,Gaai tau saat sau (1996),gaai tau saat sau,http://www.imdb.com/title/tt0172610/,4.4,438,5520,1996,video.movie,0,0,8,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.2997,tt0172980,Pehla Nasha (1993),pehla nasha,http://www.imdb.com/title/tt0172980/,5.6,213,,1993,video.movie,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles03/index.html.2998,tt0173772,Meine italienische Reise (2001),meine italienische reise,http://www.imdb.com/title/tt0173772/,8.2,2087,14760,2001,video.movie,4,1,2,14,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3,tt0003037,Juve contre Fantômas (1913),juve contre fant mas,http://www.imdb.com/title/tt0003037/,6.6,807,3660,1913,video.movie,0,0,7,2,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.30,tt0013496,Phantom (1922),phantom,http://www.imdb.com/title/tt0013496/,7.1,836,7500,1922,video.movie,0,0,0,0,14,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.300,tt0033717,Entscheidung in der Sierra (1941),entscheidung in der sierra,http://www.imdb.com/title/tt0033717/,7.6,9324,6000,1941,video.movie,1,0,25,31,75,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3001,tt0175144,Screening (1998),screening,http://www.imdb.com/title/tt0175144/,4.7,25,,1998,video.movie,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
titles03/index.html.3002,tt0175880,Magnolia (1999),magnolia,http://www.imdb.com/title/tt0175880/,8.0,205640,11280,1999,video.movie,22,35,52,766,1397,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3003,tt0176234,Forever Fabulous (1999),forever fabulous,http://www.imdb.com/title/tt0176234/,6.9,53,6300,1999,video.movie,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3004,tt0177789,Galaxy Quest - Planlos durchs Weltall (1999),galaxy quest planlos durchs weltall,http://www.imdb.com/title/tt0177789/,7.3,101591,6120,1999,video.movie,7,14,68,521,578,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles03/index.html.3005,tt0177971,Der Sturm (2000),der sturm,http://www.imdb.com/title/tt0177971/,6.3,113211,7800,2000,video.movie,4,19,166,324,764,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3006,tt0178186,Aandhi (1975),aandhi,http://www.imdb.com/title/tt0178186/,7.8,500,7980,1975,video.movie,2,0,0,0,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3007,tt0178868,Ring - Das Original (1998),ring das original,http://www.imdb.com/title/tt0178868/,7.3,41112,5760,1998,video.movie,6,1,16,215,396,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3008,tt0179011,Bunny (1999),bunny,http://www.imdb.com/title/tt0179011/,6.9,1356,420,1999,video.movie,3,1,0,0,17,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
titles03/index.html.3009,tt0179214,Histoire(s) du cinéma: Le contrôle de l'univers (Video 1998),histoire s du cin ma le contr le de l univers video,http://www.imdb.com/title/tt0179214/,7.3,398,1620,1998,video.movie,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
titles03/index.html.301,tt0033729,So grün war mein Tal (1941),so gr n war mein tal,http://www.imdb.com/title/tt0033729/,7.9,12684,7080,1941,video.movie,5,5,32,103,115,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3010,tt0179215,Histoire(s) du cinéma: Les signes parmi nous (Video 1998),histoire s du cin ma les signes parmi nous video,http://www.imdb.com/title/tt0179215/,7.5,388,2280,1998,video.movie,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
titles03/index.html.3011,tt0179216,Histoire(s) du cinéma: Une histoire seule (Video 1989),histoire s du cin ma une histoire seule video,http://www.imdb.com/title/tt0179216/,7.3,453,2520,1989,video.movie,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3012,tt0180052,Die Abenteuer von Pluto Nash (2002),die abenteuer von pluto nash,http://www.imdb.com/title/tt0180052/,3.7,17383,5700,2002,video.movie,1,6,29,76,159,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
titles03/index.html.3014,tt0180734,Hardball (2001),hardball,http://www.imdb.com/title/tt0180734/,6.3,18606,6360,2001,video.movie,0,0,75,37,125,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
titles03/index.html.3015,tt0181196,Captain Buzz Lightyear - Star Command (Video 2000),captain buzz lightyear star command video,http://www.imdb.com/title/tt0181196/,5.9,2071,4200,2000,video.movie,0,0,14,0,19,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3016,tt0181199,Arabian Nights - Abenteuer aus 1001 Nacht (TV Movie 2000),arabian nights abenteuer aus nacht tv movie,http://www.imdb.com/title/tt0181199/,7.5,3458,10500,2000,video.movie,1,5,23,4,39,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3019,tt0181865,Traffic - Die Macht des Kartells (2000),traffic die macht des kartells,http://www.imdb.com/title/tt0181865/,7.7,149657,8820,2000,video.movie,73,57,112,1203,846,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
titles03/index.html.302,tt0033740,I Wake Up Screaming (1941),i wake up screaming,http://www.imdb.com/title/tt0033740/,7.3,1988,4920,1941,video.movie,0,0,7,4,65,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3020,tt0182004,Cheri-Bibi (1931),cheri bibi,http://www.imdb.com/title/tt0182004/,,,4380,1931,video.movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3021,tt0182295,Verlorene Liebesmüh' (2000),verlorene liebesm h,http://www.imdb.com/title/tt0182295/,6.1,3433,5580,2000,video.movie,0,0,21,38,98,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.3022,tt0182576,Family Guy (TV Series 1999– ),family guy tv series,http://www.imdb.com/title/tt0182576/,8.5,168891,1320,1999,video.tv,13,49,336,6333,533,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3023,tt0182789,Der 200 Jahre Mann (1999),der jahre mann,http://www.imdb.com/title/tt0182789/,6.7,63767,7920,1999,video.movie,1,6,52,73,338,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.3024,tt0183505,Ich\, beide & sie (2000),ich beide sie,http://www.imdb.com/title/tt0183505/,6.5,148915,6960,2000,video.movie,2,4,72,29,468,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3025,tt0183649,Nicht auflegen! (2002),nicht auflegen,http://www.imdb.com/title/tt0183649/,7.1,161214,4860,2002,video.movie,0,0,57,401,613,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
titles03/index.html.3027,tt0184111,Ed\, Edd\, 'n' Eddy (TV Series 1999–2009),ed edd n eddy tv series,http://www.imdb.com/title/tt0184111/,7.4,12708,1800,1999,video.tv,1,6,15,0,142,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3028,tt0184894,Shang-High Noon (2000),shang high noon,http://www.imdb.com/title/tt0184894/,6.6,76027,6600,2000,video.movie,1,7,108,113,288,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3029,tt0185037,The Legend of Zelda 2: Rinku no bôken (Video Game 1987),the legend of zelda rinku no b ken video game,http://www.imdb.com/title/tt0185037/,7.3,519,,1987,game,0,0,0,0,15,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.303,tt0033754,In the Navy (1941),in the navy,http://www.imdb.com/title/tt0033754/,7.2,2079,5160,1941,video.movie,0,0,9,17,20,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
titles03/index.html.3030,tt0185087,Martha Stewart Living (TV Series 1991–2004),martha stewart living tv series,http://www.imdb.com/title/tt0185087/,5.3,71,3600,1991,video.tv,13,47,5,47,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
titles03/index.html.3031,tt0185125,Alles über meine Mutter (1999),alles ber meine mutter,http://www.imdb.com/title/tt0185125/,7.9,57409,6060,1999,video.movie,49,33,42,161,220,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
